node_type,timestamp,power
gpu,1775404800000,101964.55332999998
gpu,1775408400000,111599.7321560001
gpu,1775412000000,99095.50137000001
gpu,1775415600000,104177.93627700002
gpu,1775419200000,108728.42574500002
gpu,1775422800000,117632.52890100007
gpu,1775426400000,115230.942025
gpu,1775430000000,110438.79368499997
gpu,1775433600000,108404.79792400004
gpu,1775437200000,109954.45857400003
gpu,1775440800000,107855.164032
gpu,1775444400000,113951.02115399996
gpu,1775448000000,111383.96513599997
gpu,1775451600000,113963.15772699997
gpu,1775455200000,113416.10336200004
gpu,1775458800000,117448.16537999999
gpu,1775462400000,114852.97385699998
gpu,1775466000000,115715.85177100002
gpu,1775469600000,107672.75034699998
gpu,1775473200000,118029.48448200001
gpu,1775476800000,117620.78572799999
gpu,1775480400000,133113.15037900003
gpu,1775484000000,127335.057554
gpu,1775487600000,138202.46639000002
gpu,1775491200000,128330.42560099998
gpu,1775494800000,130041.671321
gpu,1775498400000,121749.62330900002
gpu,1775502000000,132920.55895700006
gpu,1775505600000,132520.151426
gpu,1775509200000,137218.43585499996
gpu,1775512800000,122954.39124299999
gpu,1775516400000,127035.39310000002
gpu,1775520000000,112934.95614599997
gpu,1775523600000,128758.19873500004
gpu,1775527200000,121839.43796500005
gpu,1775530800000,121219.16907399998
gpu,1775534400000,115320.18984499997
gpu,1775538000000,115337.45020600002
gpu,1775541600000,108775.67782699998
gpu,1775545200000,119979.622434
gpu,1775548800000,116716.31302900003
gpu,1775552400000,115071.06739599998
gpu,1775556000000,118446.068083
gpu,1775559600000,105806.08179800001
gpu,1775563200000,94977.19321300002
gpu,1775566800000,103384.82144800006
gpu,1775570400000,91810.10759500001
gpu,1775574000000,113042.82303499996
gpu,1775577600000,116927.07829100003
gpu,1775581200000,116579.98850300004
gpu,1775584800000,129410.00417700007
gpu,1775588400000,123976.64271700002
gpu,1775592000000,126220.88495499997
gpu,1775595600000,126964.007086
gpu,1775599200000,117340.85859499998
gpu,1775602800000,126774.52374199992
gpu,1775606400000,120699.77500500002
gpu,1775610000000,119034.46628800004
gpu,1775613600000,125425.03968399999
gpu,1775617200000,121938.84673699997
gpu,1775620800000,122547.679869
gpu,1775624400000,106977.50270700002
gpu,1775628000000,121138.54404699999
gpu,1775631600000,116447.97651600001
gpu,1775635200000,114948.851054
gpu,1775638800000,119147.10618499994
gpu,1775642400000,117110.77793100005
gpu,1775646000000,105444.22407500006
gpu,1775649600000,100634.16760000002
gpu,1775653200000,103392.12218899997
gpu,1775656800000,92054.29998799998
gpu,1775660400000,117709.23734900003
gpu,1775664000000,118639.28047900004
gpu,1775667600000,112171.138454
gpu,1775671200000,109846.77276299999
gpu,1775674800000,115590.68997899999
gpu,1775678400000,119000.69281200001
gpu,1775682000000,127552.604661
gpu,1775685600000,117796.082031
gpu,1775689200000,130694.312766
gpu,1775692800000,129996.932487
gpu,1775696400000,125264.80206199997
gpu,1775700000000,113275.35695300002
gpu,1775703600000,126839.479834
gpu,1775707200000,127089.12461800005
gpu,1775710800000,134968.54086299997
gpu,1775714400000,120341.99693799998
gpu,1775718000000,123212.322169
gpu,1775721600000,133137.78193299996
gpu,1775725200000,124330.38507799999
gpu,1775728800000,113987.68698499998
gpu,1775732400000,123486.20592399998
gpu,1775736000000,116724.24744399995
gpu,1775739600000,109438.255396
gpu,1775743200000,107034.14852200002
gpu,1775746800000,101378.64606400004
gpu,1775750400000,111811.10220600005
gpu,1775754000000,112399.05512899996
gpu,1775757600000,118349.97199399996
gpu,1775761200000,107732.36358800002
gpu,1775764800000,120658.07131699997
gpu,1775768400000,126399.87165399996
gpu,1775772000000,107682.91810900005
gpu,1775775600000,116238.29828799999
gpu,1775779200000,118339.843653
gpu,1775782800000,117149.51113799991
gpu,1775786400000,114539.33826300001
gpu,1775790000000,127458.11658500004
gpu,1775793600000,130397.22496099997
gpu,1775797200000,109648.84047500002
gpu,1775800800000,108528.49535999997
gpu,1775804400000,115601.52424800002
gpu,1775808000000,112731.78613800005
gpu,1775811600000,111114.72743699996
gpu,1775815200000,104392.32845900003
gpu,1775818800000,112971.31068999998
gpu,1775822400000,99813.22986599998
gpu,1775826000000,100124.47740899998
gpu,1775829600000,107142.37678800005
gpu,1775833200000,106013.283056
gpu,1775836800000,111431.82528599995
gpu,1775840400000,106552.94919799999
gpu,1775844000000,106696.00290600002
gpu,1775847600000,107714.83458700006
gpu,1775851200000,98329.41268
gpu,1775854800000,107139.92586900004
gpu,1775858400000,115949.15144899997
gpu,1775862000000,114517.459997
gpu,1775865600000,111203.87224600001
gpu,1775869200000,110301.48445
gpu,1775872800000,101508.198767
gpu,1775876400000,108606.100722
gpu,1775880000000,106438.471262
gpu,1775883600000,119326.96301599997
gpu,1775887200000,116509.55115099999
gpu,1775890800000,106175.69030900006
gpu,1775894400000,102461.11857800004
gpu,1775898000000,103947.96924399999
gpu,1775901600000,107455.36771299997
gpu,1775905200000,105994.70676699997
gpu,1775908800000,109552.13958999996
gpu,1775912400000,105971.40116600008
gpu,1775916000000,100889.55306599998
gpu,1775919600000,103737.87633300001
gpu,1775923200000,110113.27765299995
gpu,1775926800000,94813.27309800002
gpu,1775930400000,106556.69121899999
gpu,1775934000000,111807.28430700002
gpu,1775937600000,113535.24521199998
gpu,1775941200000,99356.37433500004
gpu,1775944800000,113452.87111
